"Time","avg(jvm_gc_collection_seconds_sum)"
2023-05-01 19:48:00,1.49
2023-05-01 19:48:05,1.49
2023-05-01 19:48:10,1.49
2023-05-01 19:48:15,1.49
2023-05-01 19:48:20,1.49
2023-05-01 19:48:25,1.49
2023-05-01 19:48:30,1.50
2023-05-01 19:48:35,1.51
2023-05-01 19:48:40,1.51
2023-05-01 19:48:45,1.51
2023-05-01 19:48:50,1.51
2023-05-01 19:48:55,1.51
2023-05-01 19:49:00,1.51
2023-05-01 19:49:05,1.51
2023-05-01 19:49:10,1.51
2023-05-01 19:49:15,1.51
2023-05-01 19:49:20,1.51
2023-05-01 19:49:25,1.51
2023-05-01 19:49:30,1.51
2023-05-01 19:49:35,1.52
2023-05-01 19:49:40,1.52
2023-05-01 19:49:45,1.52
2023-05-01 19:49:50,1.52
2023-05-01 19:49:55,1.52
2023-05-01 19:50:00,1.52
2023-05-01 19:50:05,1.52
2023-05-01 19:50:10,1.52
2023-05-01 19:50:15,1.52
2023-05-01 19:50:20,1.52
2023-05-01 19:50:25,1.52
2023-05-01 19:50:30,1.53
2023-05-01 19:50:35,1.53
2023-05-01 19:50:40,1.54
2023-05-01 19:50:45,1.54
2023-05-01 19:50:50,1.54
2023-05-01 19:50:55,1.54
2023-05-01 19:51:00,1.54
2023-05-01 19:51:05,1.54
2023-05-01 19:51:10,1.54
2023-05-01 19:51:15,1.54
2023-05-01 19:51:20,1.54
2023-05-01 19:51:25,1.54
2023-05-01 19:51:30,1.54
2023-05-01 19:51:35,1.54
2023-05-01 19:51:40,1.54
2023-05-01 19:51:45,1.54
2023-05-01 19:51:50,1.54
2023-05-01 19:51:55,1.54
2023-05-01 19:52:00,1.54
2023-05-01 19:52:05,1.54
2023-05-01 19:52:10,1.54
2023-05-01 19:52:15,1.54
2023-05-01 19:52:20,1.54
2023-05-01 19:52:25,1.56
2023-05-01 19:52:30,1.56
2023-05-01 19:52:35,1.56
2023-05-01 19:52:40,1.56
2023-05-01 19:52:45,1.56
2023-05-01 19:52:50,1.56
2023-05-01 19:52:55,1.56
2023-05-01 19:53:00,1.56
2023-05-01 19:53:05,1.56
2023-05-01 19:53:10,1.56
2023-05-01 19:53:15,1.56
2023-05-01 19:53:20,1.56
2023-05-01 19:53:25,1.56
2023-05-01 19:53:30,1.56
2023-05-01 19:53:35,1.56
2023-05-01 19:53:40,1.56
2023-05-01 19:53:45,1.56
2023-05-01 19:53:50,1.56
2023-05-01 19:53:55,1.56
2023-05-01 19:54:00,1.57
2023-05-01 19:54:05,1.57
2023-05-01 19:54:10,1.57
2023-05-01 19:54:15,1.57
2023-05-01 19:54:20,1.58
2023-05-01 19:54:25,1.58
2023-05-01 19:54:30,1.58
2023-05-01 19:54:35,1.58
2023-05-01 19:54:40,1.58
2023-05-01 19:54:45,1.58
2023-05-01 19:54:50,1.58
2023-05-01 19:54:55,1.58
2023-05-01 19:55:00,1.58
2023-05-01 19:55:05,1.59
2023-05-01 19:55:10,1.59
2023-05-01 19:55:15,1.59
2023-05-01 19:55:20,1.59
2023-05-01 19:55:25,1.59
2023-05-01 19:55:30,1.59
2023-05-01 19:55:35,1.59
2023-05-01 19:55:40,1.59
2023-05-01 19:55:45,1.59
2023-05-01 19:55:50,1.59
2023-05-01 19:55:55,1.59
2023-05-01 19:56:00,1.59
2023-05-01 19:56:05,1.59
2023-05-01 19:56:10,1.61
2023-05-01 19:56:15,1.61
2023-05-01 19:56:20,1.61
2023-05-01 19:56:25,1.61
2023-05-01 19:56:30,1.61
2023-05-01 19:56:35,1.61
2023-05-01 19:56:40,1.61
2023-05-01 19:56:45,1.61
2023-05-01 19:56:50,1.61
2023-05-01 19:56:55,1.61
2023-05-01 19:57:00,1.61
2023-05-01 19:57:05,1.61
2023-05-01 19:57:10,1.61
2023-05-01 19:57:15,1.61
2023-05-01 19:57:20,1.61
2023-05-01 19:57:25,1.61
2023-05-01 19:57:30,1.61
2023-05-01 19:57:35,1.61
2023-05-01 19:57:40,1.61
2023-05-01 19:57:45,1.61
2023-05-01 19:57:50,1.61
2023-05-01 19:57:55,1.61
2023-05-01 19:58:00,1.61
2023-05-01 19:58:05,1.63
2023-05-01 19:58:10,1.63
2023-05-01 19:58:15,1.63
2023-05-01 19:58:20,1.63
2023-05-01 19:58:25,1.63
2023-05-01 19:58:30,1.63
2023-05-01 19:58:35,1.63
2023-05-01 19:58:40,1.63
2023-05-01 19:58:45,1.63
2023-05-01 19:58:50,1.63
2023-05-01 19:58:55,1.63
2023-05-01 19:59:00,1.63
2023-05-01 19:59:05,1.63
2023-05-01 19:59:10,1.63
2023-05-01 19:59:15,1.63
2023-05-01 19:59:20,1.63
2023-05-01 19:59:25,1.64
2023-05-01 19:59:30,1.64
2023-05-01 19:59:35,1.64
2023-05-01 19:59:40,1.64
2023-05-01 19:59:45,1.64
2023-05-01 19:59:50,1.64
2023-05-01 19:59:55,1.64
2023-05-01 20:00:00,1.65
2023-05-01 20:00:05,1.65
2023-05-01 20:00:10,1.65
2023-05-01 20:00:15,1.65
2023-05-01 20:00:20,1.65
2023-05-01 20:00:25,1.65
2023-05-01 20:00:30,1.66
2023-05-01 20:00:35,1.66
2023-05-01 20:00:40,1.66
2023-05-01 20:00:45,1.66
2023-05-01 20:00:50,1.66
2023-05-01 20:00:55,1.66
2023-05-01 20:01:00,1.66
2023-05-01 20:01:05,1.66
2023-05-01 20:01:10,1.66
2023-05-01 20:01:15,1.66
2023-05-01 20:01:20,1.66
2023-05-01 20:01:25,1.66
2023-05-01 20:01:30,1.66
2023-05-01 20:01:35,1.66
2023-05-01 20:01:40,1.66
2023-05-01 20:01:45,1.66
2023-05-01 20:01:50,1.66
2023-05-01 20:01:55,1.68
2023-05-01 20:02:00,1.68
2023-05-01 20:02:05,1.68
2023-05-01 20:02:10,1.68
2023-05-01 20:02:15,1.68
2023-05-01 20:02:20,1.68
2023-05-01 20:02:25,1.68
2023-05-01 20:02:30,1.68
2023-05-01 20:02:35,1.68
2023-05-01 20:02:40,1.68
2023-05-01 20:02:45,1.68
2023-05-01 20:02:50,1.68
2023-05-01 20:02:55,1.68
2023-05-01 20:03:00,1.68
2023-05-01 20:03:05,1.68
2023-05-01 20:03:10,1.68
2023-05-01 20:03:15,1.68
2023-05-01 20:03:20,1.68
2023-05-01 20:03:25,1.68
2023-05-01 20:03:30,1.68
2023-05-01 20:03:35,1.68
2023-05-01 20:03:40,1.68
2023-05-01 20:03:45,1.68
2023-05-01 20:03:50,1.70
2023-05-01 20:03:55,1.70
2023-05-01 20:04:00,1.70

